name,genre,year,score,votes
High on the Hog,Action,2019,3.5,195
Getting It on,Comedy,1983,3.7,208
Almost You,Comedy,1984,5.1,216
Fever Pitch,Drama,1985,4.1,243
Sky Bandits,Action,1986,4.6,258
The Bear,Biography,1984,6.1,270
King of the Mountain,Action,1981,5.5,384
Million Dollar Mystery,Comedy,1987,5.1,390
Willie & Phil,Comedy,1980,5.9,415
Rappin',Drama,1985,4.1,434
Trenchcoat,Comedy,1983,5.3,456
Native Son,Drama,1986,5.8,525
Phobia,Drama,1980,4,546
Cattle Annie and Little Britches,Drama,1980,6.1,604
"Yes, Giorgio",Comedy,1982,3.9,653
Inchon,Drama,1981,2.7,659
Running Brave,Biography,1983,6.7,659
Heart of Dixie,Drama,1989,5.2,677
Lookin' to Get Out,Comedy,1982,5.1,684
The Lemon Sisters,Comedy,1989,5,694
Love Letters,Drama,1983,5.9,701
Sing,Drama,1989,6.9,716
Lovesick,Comedy,1983,5.2,747
The Walking Dead,Action,1995,4.9,759
Take This Job and Shove It,Comedy,1981,5,761
Mike's Murder,Drama,1984,5.8,822
Clifford's Really Big Movie,Animation,2004,5.4,822
My Brother's Wedding,Drama,1983,7.2,826
"Sister, Sister",Drama,1987,5.4,834
Finders Keepers,Comedy,1984,5.4,856
Surrender,Comedy,1987,5.4,872
In the Mood,Comedy,1987,6.2,905
Violets Are Blue...,Drama,1986,5.9,906
Honky Tonk Freeway,Action,1981,5.2,928
The Lonely Lady,Drama,1983,3,938
Cheetah,Adventure,1989,6,943
Illegally Yours,Comedy,1988,4.2,949
Jinxed!,Comedy,1982,4.7,984
Memories of Me,Comedy,1988,5.7,994
