year,present_equivalent_value
1956,11.32
1957,10.96
1958,10.66
1959,10.56
1960,10.41
1961,10.3
1962,10.17
1963,10.05
1964,9.92
1965,9.77
1966,9.48
1967,9.23
1968,8.85
1969,8.39
1970,7.93
1971,7.6
1972,7.36
1973,6.93
1974,6.24
1975,5.72
1976,5.41
1977,5.08
1978,4.72
1979,4.24
1980,3.73
1981,3.38
1982,3.19
1983,3.09
1984,2.96
1985,2.86
1986,2.81
1987,2.71
1988,2.6
1989,2.48
1990,2.36
1991,2.26
1992,2.19
1993,2.13
1994,2.08
1995,2.02
1996,1.96
1997,1.92
1998,1.89
1999,1.85
2000,1.79
2001,1.74
2002,1.71
2003,1.67
2004,1.63
2005,1.58
2006,1.53
2007,1.48
2008,1.43
2009,1.43
2010,1.41
2011,1.37
2012,1.34
2013,1.32
2014,1.3
2015,1.3
2016,1.28
2017,1.26
2018,1.23
2019,1.2
2020,1.19
2021,1.14
2022,1.05
